gene_id	GeneSymbol	Chromosome	Strand	Class
ENSG00000232773	DEFB130D	4:9422313-9429702	+	unprocessed_pseudogene
ENSG00000186146	DEFB131A	4:9444534-9450514	+	protein_coding
ENSG00000248364	OR7E86P	4:9459255-9460244	+	unprocessed_pseudogene
ENSG00000284689	OR7E84P	4:9468974-9469983	+	unprocessed_pseudogene
ENSG00000250884	OR7E85P	4:9483718-9484702	+	unprocessed_pseudogene
ENSG00000251624	UNC93B7	4:9493736-9498066	+	unprocessed_pseudogene
ENSG00000249866	OR7E83P	4:9512905-9513874	+	unprocessed_pseudogene
ENSG00000249443	AC097493.3	4:9521910-9522276	+	processed_pseudogene
ENSG00000284648	AC097493.4	4:9532429-9532647	+	unprocessed_pseudogene
ENSG00000242034	AC097493.1	4:9553614-9553985	-	processed_pseudogene
ENSG00000221275	MIR548I2	4:9556168-9556316	-	miRNA
ENSG00000244004	AC097493.2	4:9563171-9563950	+	processed_pseudogene
ENSG00000287117	AC105916.1	4:9567474-9691786	-	lncRNA
ENSG00000249799	SNRPCP13	4:9583942-9584131	-	processed_pseudogene
ENSG00000250942	ENPP7P11	4:9677308-9677934	+	processed_pseudogene
ENSG00000186234	FAM86MP	4:9692495-9702954	+	unprocessed_pseudogene
ENSG00000251087	ALG1L3P	4:9703754-9710812	-	unprocessed_pseudogene
ENSG00000203436	RF00017	4:9711953-9712233	-	misc_RNA
ENSG00000249563	AC098976.1	4:9733370-9742361	+	unprocessed_pseudogene
ENSG00000250425	OR7E35P	4:9754898-9755778	+	unprocessed_pseudogene
ENSG00000109667	SLC2A9	4:9771153-10054936	-	protein_coding
ENSG00000169676	DRD5	4:9781680-9784009	+	protein_coding
ENSG00000252002	RNA5SP154	4:9792751-9792861	-	rRNA_pseudogene
ENSG00000249219	AC108199.1	4:9922814-9924146	+	lncRNA
ENSG00000250413	AC005674.1	4:10006482-10009725	+	lncRNA
ENSG00000261490	AC005674.2	4:10068089-10073019	-	lncRNA
ENSG00000071127	WDR1	4:10074339-10116949	-	protein_coding
ENSG00000264931	MIR3138	4:10078611-10078692	-	miRNA
ENSG00000223086	RNA5SP155	4:10115756-10115884	-	rRNA_pseudogene
ENSG00000250393	AC093664.1	4:10143367-10143655	-	processed_pseudogene
ENSG00000251296	AC006499.6	4:10167159-10167765	-	processed_pseudogene
ENSG00000248777	AC006499.1	4:10199823-10200672	-	processed_pseudogene
ENSG00000271544	AC006499.8	4:10238213-10238235	-	processed_pseudogene
ENSG00000250040	RAF1P1	4:10254926-10256621	-	processed_pseudogene
ENSG00000250573	AC006499.4	4:10259445-10260138	-	processed_pseudogene
ENSG00000250074	AC006499.2	4:10267895-10268231	-	processed_pseudogene
ENSG00000250505	AC006499.3	4:10284961-10285708	-	processed_pseudogene
ENSG00000251278	AC006499.5	4:10292195-10292708	-	processed_pseudogene
ENSG00000251338	AC006499.7	4:10294463-10295579	-	processed_pseudogene
ENSG00000250613	AC110768.2	4:10410996-10411644	+	processed_pseudogene
ENSG00000178163	ZNF518B	4:10439880-10457426	-	protein_coding
ENSG00000287154	AC005599.1	4:10456745-10531022	+	lncRNA
ENSG00000248419	AC110768.1	4:10478524-10478923	-	processed_pseudogene
ENSG00000109684	CLNK	4:10486395-10684768	-	protein_coding
ENSG00000249334	AC084048.1	4:10685003-10697661	+	lncRNA
ENSG00000283083	LINC02498	4:10737558-10749586	+	lncRNA
ENSG00000207716	MIR572	4:11368827-11368921	+	miRNA
ENSG00000250896	RNPS1P1	4:11371975-11372892	+	processed_pseudogene
ENSG00000002587	HS3ST1	4:11393150-11429564	-	protein_coding
ENSG00000222182	RNA5SP156	4:11414051-11414160	-	rRNA_pseudogene
ENSG00000287778	AC006230.1	4:11426874-11467802	+	lncRNA
ENSG00000251152	AC025539.1	4:11469250-11478196	+	lncRNA
ENSG00000249631	AC005699.1	4:11625714-11823906	+	lncRNA
ENSG00000248300	LINC02360	4:11740948-11769468	-	lncRNA
ENSG00000248262	AC108037.1	4:11914667-11919688	+	lncRNA
ENSG00000251210	LINC02270	4:12223445-12251286	+	lncRNA
ENSG00000212282	RNU6-578P	4:12312588-12312690	+	snRNA
ENSG00000249995	ECM1P2	4:12639086-12641009	+	processed_pseudogene
ENSG00000249780	AC093809.1	4:12640298-12640637	-	processed_pseudogene
ENSG00000250371	AC007370.2	4:12859101-12864961	-	lncRNA
ENSG00000250098	AC007370.1	4:12947574-12948670	-	lncRNA
ENSG00000283271	RF00026	4:13051342-13051411	+	snRNA
ENSG00000205940	HSP90AB2P	4:13333414-13338657	+	transcribed_processed_pseudogene
ENSG00000157869	RAB28	4:13361354-13484365	-	protein_coding
ENSG00000286297	AC006445.3	4:13491185-13516498	+	lncRNA
ENSG00000281202	LINC01097	4:13526319-13534335	-	lncRNA
ENSG00000109705	NKX3-2	4:13540830-13545050	-	protein_coding
ENSG00000246095	LINC01096	4:13546075-13547801	-	lncRNA
ENSG00000038219	BOD1L1	4:13568738-13627725	-	protein_coding
ENSG00000266240	MIR5091	4:13627865-13627957	+	miRNA
ENSG00000249148	AC006445.2	4:13631820-13632599	-	processed_pseudogene
ENSG00000242209	AC006445.1	4:13647697-13648400	-	processed_pseudogene
ENSG00000250634	LINC01182	4:13654374-14003756	+	lncRNA
ENSG00000250497	AC007126.1	4:13777377-13782157	-	lncRNA
ENSG00000224569	AC095052.1	4:13977166-13978028	+	processed_pseudogene
ENSG00000248698	LINC01085	4:14111968-14140052	+	transcribed_processed_pseudogene
ENSG00000251679	AC073848.1	4:14134936-14143592	+	lncRNA
ENSG00000249988	AC092546.1	4:14164455-14242813	+	lncRNA
ENSG00000287360	AC006296.3	4:14359400-14453625	+	lncRNA
ENSG00000251412	AC006296.2	4:14383123-14409078	-	lncRNA
ENSG00000248425	AC006296.1	4:14390439-14393992	+	lncRNA
ENSG00000248360	LINC00504	4:14470465-14888169	-	lncRNA
ENSG00000251252	MTND2P31	4:14505865-14506480	-	processed_pseudogene
ENSG00000202449	RF00092	4:14690710-14690832	+	snoRNA
ENSG00000247624	CPEB2-DT	4:14909961-15002045	-	lncRNA
ENSG00000137449	CPEB2	4:15002674-15070153	+	protein_coding
ENSG00000249252	AC098829.1	4:15004942-15427914	-	lncRNA
ENSG00000199420	RN7SKP170	4:15093767-15094094	-	misc_RNA
ENSG00000163145	C1QTNF7	4:15339818-15446166	+	protein_coding
ENSG00000251379	AC099550.1	4:15358141-15420032	-	lncRNA
ENSG00000048342	CC2D2A	4:15469865-15601557	+	protein_coding
ENSG00000249930	AC007016.1	4:15492729-15492972	-	processed_pseudogene
ENSG00000273133	AC116651.1	4:15563698-15564253	-	lncRNA
ENSG00000118564	FBXL5	4:15604539-15681679	-	protein_coding
ENSG00000237765	FAM200B	4:15681662-15705565	+	protein_coding
ENSG00000109743	BST1	4:15703065-15738313	+	protein_coding
ENSG00000214846	AC114744.1	4:15730962-15731627	-	processed_pseudogene
ENSG00000248188	AC005798.1	4:15743196-15743582	+	processed_pseudogene
ENSG00000004468	CD38	4:15778275-15853232	+	protein_coding
ENSG00000251644	HPRT1P1	4:15864938-15865940	-	processed_pseudogene
ENSG00000137440	FGFBP1	4:15935569-15938740	-	protein_coding
ENSG00000137441	FGFBP2	4:15960245-15969309	-	protein_coding
ENSG00000007062	PROM1	4:15963076-16084378	-	protein_coding
ENSG00000286280	AC108063.2	4:16114233-16117479	-	lncRNA
ENSG00000169762	TAPT1	4:16160505-16227410	-	protein_coding
ENSG00000249234	AC108063.1	4:16178939-16183120	+	lncRNA
ENSG00000263327	TAPT1-AS1	4:16226685-16320140	+	lncRNA
ENSG00000242358	RPS21P4	4:16256308-16256555	-	processed_pseudogene
ENSG00000248851	AC006427.1	4:16307456-16308167	+	processed_pseudogene
ENSG00000286888	AC006427.2	4:16322954-16326967	+	lncRNA
ENSG00000249506	ZEB2P1	4:16360686-16397323	-	transcribed_processed_pseudogene
ENSG00000248138	AC097515.1	4:16400430-16512187	+	lncRNA
ENSG00000169744	LDB2	4:16501541-16898678	-	protein_coding
ENSG00000287081	AC104656.1	4:16598718-16604593	+	lncRNA
ENSG00000249998	AC106894.1	4:16973275-17073903	-	lncRNA
ENSG00000251212	MTND5P4	4:17061878-17062165	+	processed_pseudogene
ENSG00000250819	LINC02493	4:17171757-17186079	-	lncRNA
ENSG00000206780	SNORA75B	4:17320746-17320882	-	snoRNA
ENSG00000215278	RPS7P6	4:17427696-17428274	-	processed_pseudogene
ENSG00000151552	QDPR	4:17460261-17512206	-	protein_coding
ENSG00000249581	CLRN2	4:17515165-17527104	+	protein_coding
ENSG00000249488	NACAP5	4:17552117-17552752	-	processed_pseudogene
ENSG00000283219	AC006160.2	4:17557892-17558045	-	unprocessed_pseudogene
ENSG00000002549	LAP3	4:17577192-17607972	+	protein_coding
ENSG00000249502	AC006160.1	4:17586267-17614585	-	lncRNA
ENSG00000118579	MED28	4:17614641-17634105	+	protein_coding
ENSG00000047662	FAM184B	4:17629306-17781512	-	protein_coding
ENSG00000163257	DCAF16	4:17800655-17810758	-	protein_coding
ENSG00000109805	NCAPG	4:17810979-17844865	+	protein_coding
ENSG00000178177	LCORL	4:17841199-18021876	-	protein_coding
ENSG00000235413	KRT18P63	4:17911674-17912976	+	processed_pseudogene
ENSG00000286046	AC093898.1	4:18418662-18888662	+	lncRNA
ENSG00000251048	AC093871.1	4:18488062-18489508	-	lncRNA
ENSG00000279918	AC006840.1	4:19098199-19098740	+	TEC
ENSG00000248238	LINC02438	4:19172335-19456994	-	lncRNA
ENSG00000251816	RNA5SP157	4:19181814-19181856	-	rRNA_pseudogene
ENSG00000279379	AC024595.1	4:19257951-19258337	-	TEC
ENSG00000248515	AC024230.1	4:19455418-19938448	+	lncRNA
ENSG00000249441	AC110767.1	4:19747179-19754591	-	lncRNA
ENSG00000241612	AC114728.1	4:19813749-19814231	+	processed_pseudogene
ENSG00000250611	AC098862.1	4:20037560-20037972	-	processed_pseudogene
ENSG00000145147	SLIT2	4:20251905-20620561	+	protein_coding
ENSG00000248228	SLIT2-IT1	4:20392154-20394856	+	lncRNA
ENSG00000207732	MIR218-1	4:20528275-20528384	+	miRNA
ENSG00000163138	PACRGL	4:20696282-20752907	+	protein_coding
ENSG00000185774	KCNIP4	4:20728606-21948772	-	protein_coding
ENSG00000272995	AC097505.1	4:20766808-20767372	+	lncRNA
ENSG00000250243	AC110296.1	4:21304468-21350673	+	lncRNA
ENSG00000283281	MIR7978	4:21464700-21464758	-	miRNA
ENSG00000286318	AC096576.6	4:21520854-21523709	-	lncRNA
ENSG00000250092	AC096576.3	4:21582096-21613728	+	lncRNA
ENSG00000242768	AC096576.1	4:21656511-21656869	-	processed_pseudogene
ENSG00000248343	AC096576.2	4:21697450-21719026	+	lncRNA
ENSG00000280650	KCNIP4-IT1	4:21843341-21853188	-	lncRNA
ENSG00000250039	AC096719.1	4:21949015-22330330	+	lncRNA
ENSG00000239001	RNU6-420P	4:22118983-22119089	+	snRNA
ENSG00000152990	ADGRA3	4:22345071-22516066	-	protein_coding
ENSG00000244538	AC098583.1	4:22594196-22594450	+	processed_pseudogene
ENSG00000251516	AC098583.2	4:22607501-22611063	+	unprocessed_pseudogene
ENSG00000249948	GBA3	4:22692914-22819575	+	polymorphic_pseudogene
ENSG00000237350	CDC42P6	4:22727375-22727950	-	processed_pseudogene
ENSG00000248837	AC097512.1	4:22989147-23193740	+	lncRNA
ENSG00000249547	AC092440.1	4:23234625-23285573	-	lncRNA
ENSG00000251220	RFPL4AP3	4:23514940-23515284	-	processed_pseudogene
ENSG00000250137	AC093607.1	4:23560923-23768652	+	lncRNA
ENSG00000251292	ERVH-1	4:23723262-23733579	-	lncRNA
ENSG00000109819	PPARGC1A	4:23755041-23904089	-	protein_coding
ENSG00000249453	AC092834.1	4:23779590-23782560	+	lncRNA
ENSG00000109606	DHX15	4:24517441-24584554	-	protein_coding
ENSG00000207697	MIR573	4:24520192-24520290	-	miRNA
ENSG00000243005	RN7SL16P	4:24563193-24563461	-	misc_RNA
ENSG00000249256	ATP5MGP3	4:24658072-24658375	-	processed_pseudogene
ENSG00000261121	LINC02473	4:24659856-24671568	+	lncRNA
ENSG00000251638	AC006390.1	4:24768049-24768331	+	processed_pseudogene
ENSG00000248444	HNRNPA1P65	4:24771467-24772420	+	processed_pseudogene
ENSG00000109610	SOD3	4:24789912-24800842	+	protein_coding
ENSG00000181982	CCDC149	4:24806117-24980204	-	protein_coding
ENSG00000153012	LGI2	4:24998847-25030946	-	protein_coding
ENSG00000109618	SEPSECS	4:25120014-25160449	-	protein_coding
ENSG00000281501	SEPSECS-AS1	4:25160641-25201440	+	lncRNA
ENSG00000038210	PI4K2B	4:25160663-25279204	+	protein_coding
ENSG00000271172	AC104662.1	4:25220403-25220913	+	lncRNA
ENSG00000278135	RF00004	4:25250545-25250639	+	snRNA
ENSG00000168228	ZCCHC4	4:25312774-25370383	+	protein_coding
ENSG00000053900	ANAPC4	4:25377213-25418498	+	protein_coding
ENSG00000249320	AC133963.2	4:25472517-25473815	+	processed_pseudogene
ENSG00000248608	AC133963.1	4:25504997-25506675	+	processed_pseudogene
ENSG00000238632	RNU7-126P	4:25598564-25598625	-	snRNA
ENSG00000248545	AC092436.2	4:25608711-25619468	+	lncRNA
ENSG00000228154	AC092436.1	4:25622777-25623601	+	processed_pseudogene
ENSG00000157765	SLC34A2	4:25648011-25678748	+	protein_coding
ENSG00000242640	RPS29P11	4:25678850-25679020	+	processed_pseudogene
ENSG00000249277	AC092436.3	4:25686202-25686458	-	processed_pseudogene
ENSG00000250050	MTND4P9	4:25718082-25719745	-	unprocessed_pseudogene
ENSG00000248133	MTND4LP22	4:25719755-25720030	-	unprocessed_pseudogene
ENSG00000251353	MTND3P5	4:25720099-25720431	-	unprocessed_pseudogene
ENSG00000248654	MTCO3P44	4:25720516-25721056	-	unprocessed_pseudogene
ENSG00000091490	SEL1L3	4:25747433-25863760	-	protein_coding
ENSG00000250541	AC092436.4	4:25770266-25773577	+	lncRNA
ENSG00000250317	SMIM20	4:25861830-25929874	+	protein_coding
ENSG00000251009	AC133961.1	4:25864881-25869550	-	lncRNA
ENSG00000283314	LINC02357	4:26070754-26104258	+	lncRNA
ENSG00000248452	AC097714.1	4:26111865-26113839	+	processed_pseudogene
ENSG00000168214	RBPJ	4:26163455-26435131	+	protein_coding
ENSG00000163394	CCKAR	4:26481400-26490462	-	protein_coding
ENSG00000109680	TBC1D19	4:26576437-26756223	+	protein_coding
ENSG00000200999	RF00284	4:26702309-26702388	+	snoRNA
ENSG00000109689	STIM2	4:26857601-27025381	+	protein_coding
ENSG00000240005	STIM2-AS1	4:26859806-26860632	-	lncRNA
ENSG00000248340	AC106047.1	4:26873561-26874349	-	processed_pseudogene
ENSG00000251080	AC024132.2	4:27133996-27140051	-	lncRNA
ENSG00000205830	AC024132.1	4:27207505-27218404	-	lncRNA
ENSG00000249699	LINC02261	4:27217479-27282225	+	lncRNA
ENSG00000222206	RF00019	4:27223319-27223427	-	misc_RNA
ENSG00000251325	AC024132.3	4:27262506-27267254	-	lncRNA
ENSG00000250858	IGBP1P5	4:27585145-27586144	+	processed_pseudogene
ENSG00000287389	AC007106.2	4:27917753-27943065	+	lncRNA
ENSG00000251410	AC007106.1	4:27964517-27985063	-	lncRNA
ENSG00000286321	AC093791.2	4:28225969-28288297	+	lncRNA
ENSG00000250038	AC093791.1	4:28343862-28402936	-	lncRNA
ENSG00000250064	AC097480.1	4:28435449-28600275	+	lncRNA
ENSG00000286141	AC097480.2	4:28580991-28600845	-	lncRNA
ENSG00000243548	RN7SL101P	4:28711198-28711476	+	misc_RNA
ENSG00000283275	MIR4275	4:28819582-28819668	+	miRNA
ENSG00000250927	MESTP3	4:28823244-28824211	-	processed_pseudogene
ENSG00000250190	LINC02364	4:28996498-29017256	+	lncRNA
ENSG00000276507	AC068944.2	4:29010619-29011021	-	processed_pseudogene
ENSG00000249228	AC068944.1	4:29046591-29048765	+	lncRNA
ENSG00000248176	AC109349.1	4:29118304-29211696	+	lncRNA
ENSG00000248338	LINC02472	4:29214253-29291869	+	lncRNA
ENSG00000251373	AC092593.2	4:29407100-29408012	+	processed_pseudogene
ENSG00000251113	AC092593.1	4:29465701-29467850	-	processed_pseudogene
ENSG00000283666	RF00026	4:29510635-29510737	+	snRNA
ENSG00000249542	EEF1A1P21	4:29748757-29750100	+	processed_pseudogene
ENSG00000249564	AC097510.1	4:29907659-29907791	-	processed_pseudogene
ENSG00000244031	RPS3AP17	4:29962644-29963758	-	processed_pseudogene
ENSG00000248281	AC106868.1	4:30006951-30008316	-	processed_pseudogene
ENSG00000286596	AC098595.1	4:30718805-30721970	-	lncRNA
ENSG00000169851	PCDH7	4:30720415-31146805	+	protein_coding
ENSG00000249678	AC097716.1	4:30776257-30793970	-	lncRNA
ENSG00000250624	MTCYBP43	4:30884443-30885182	-	unprocessed_pseudogene
ENSG00000251182	LINC02497	4:31171013-31211678	+	lncRNA
ENSG00000251434	AC104071.1	4:31350284-31351725	+	lncRNA
ENSG00000249882	LINC02501	4:31506422-31558831	+	lncRNA
ENSG00000251129	LINC02506	4:31997376-32228543	+	lncRNA
ENSG00000286212	AC097654.1	4:32005076-32022483	-	lncRNA
ENSG00000251329	LINC02353	4:32351038-32353220	+	lncRNA
ENSG00000286784	AC116611.1	4:32583855-32745525	-	lncRNA
ENSG00000250076	AC017013.1	4:33010948-33011746	-	processed_pseudogene
ENSG00000287968	AC093606.1	4:33150326-33208430	+	lncRNA
ENSG00000249452	AC093878.1	4:33238239-33238670	-	processed_pseudogene
ENSG00000249766	AC097535.2	4:33400538-33400679	+	processed_pseudogene
ENSG00000248417	AC097535.1	4:33433510-33437877	+	lncRNA
ENSG00000250954	AC016687.3	4:33775498-34039914	-	lncRNA
ENSG00000250723	AC016687.2	4:33850591-33982349	+	lncRNA
ENSG00000239983	AC016687.1	4:33968174-33968526	+	processed_pseudogene
ENSG00000248685	LINC02484	4:34120090-34335351	-	lncRNA
ENSG00000287320	AC110790.1	4:34140598-34180729	-	lncRNA
ENSG00000250597	AC093689.1	4:34657606-34669432	+	lncRNA
ENSG00000275250	AC093913.1	4:34714270-34714598	+	processed_pseudogene
ENSG00000238694	RF01210	4:34966241-34966344	-	snoRNA
ENSG00000250416	SEC63P2	4:35487812-35489750	+	processed_pseudogene
ENSG00000206665	RNU6-573P	4:35495898-35496003	+	snRNA
ENSG00000047365	ARAP2	4:35948221-36244514	-	protein_coding
ENSG00000248466	AC098827.1	4:36065060-36065726	-	processed_pseudogene
ENSG00000247193	AC104078.1	4:36244116-36274220	+	lncRNA
ENSG00000197057	DTHD1	4:36281622-36345756	+	protein_coding
ENSG00000251438	AC104078.2	4:36311190-36392410	-	lncRNA
ENSG00000283207	MIR1255B1	4:36426366-36426428	-	miRNA
ENSG00000248215	LINC02505	4:36496128-36641939	-	lncRNA
ENSG00000251588	AC125336.1	4:36506043-36508869	+	processed_pseudogene
ENSG00000287416	AC093746.1	4:36902242-36913339	-	lncRNA
ENSG00000261761	LINC02616	4:37001772-37023499	+	lncRNA
ENSG00000247810	AL136537.1	4:37073681-37133849	+	lncRNA
ENSG00000264319	MIR4801	4:37241910-37241991	-	miRNA
ENSG00000174145	NWD2	4:37244743-37449463	+	protein_coding
ENSG00000154274	C4orf19	4:37453925-37623495	+	protein_coding
ENSG00000288073	AC022463.1	4:37454698-37476401	-	lncRNA
ENSG00000248936	AC027607.1	4:37588087-37588875	-	lncRNA
ENSG00000181826	RELL1	4:37590800-37686376	-	protein_coding
ENSG00000207075	RF00019	4:37699895-37700002	-	misc_RNA
ENSG00000239532	AC108022.1	4:37821361-37821838	+	processed_pseudogene
ENSG00000169299	PGM2	4:37826660-37862937	+	protein_coding
ENSG00000279386	AC021106.3	4:37866561-37867091	-	TEC
ENSG00000249863	AC021106.1	4:37868292-37869978	+	processed_pseudogene
ENSG00000065882	TBC1D1	4:37891084-38139175	+	protein_coding
ENSG00000250254	PTTG2	4:37960398-37961128	+	protein_coding
ENSG00000251332	AC021106.2	4:37995494-37996203	-	processed_pseudogene
ENSG00000249649	MRPS33P2	4:38006784-38007105	-	processed_pseudogene
ENSG00000287659	AC098680.2	4:38276178-38279880	-	lncRNA
ENSG00000251642	AC098680.1	4:38286994-38287491	+	lncRNA
ENSG00000248227	LINC02513	4:38366914-38385759	+	lncRNA
ENSG00000280015	AC024023.1	4:38390754-38391675	+	TEC
ENSG00000249534	LINC01258	4:38420662-38523180	-	lncRNA
ENSG00000249667	LINC01259	4:38509767-38518056	+	lncRNA
ENSG00000251635	LINC02278	4:38564003-38572022	+	lncRNA
ENSG00000231160	KLF3-AS1	4:38602438-38664914	-	lncRNA
ENSG00000271958	AC021860.1	4:38618265-38619437	-	lncRNA
ENSG00000109787	KLF3	4:38664197-38701517	+	protein_coding
ENSG00000222230	RNA5SP158	4:38758791-38758892	-	rRNA_pseudogene
ENSG00000174123	TLR10	4:38772238-38782990	-	protein_coding
ENSG00000174125	TLR1	4:38790677-38856817	-	protein_coding
ENSG00000174130	TLR6	4:38823715-38856817	-	protein_coding
ENSG00000197712	FAM114A1	4:38867677-38945739	+	protein_coding
ENSG00000207944	MIR574	4:38868032-38868127	+	miRNA
ENSG00000121895	TMEM156	4:38966744-39032922	-	protein_coding
ENSG00000109790	KLHL5	4:39045039-39126857	+	protein_coding
ENSG00000249207	AC079921.1	4:39066974-39182258	-	lncRNA
ENSG00000249685	AC079921.2	4:39133913-39135608	+	lncRNA
ENSG00000157796	WDR19	4:39182504-39285810	+	protein_coding
ENSG00000035928	RFC1	4:39287456-39366375	-	protein_coding
ENSG00000206675	RNU6-32P	4:39297605-39297711	-	snRNA
ENSG00000222592	RNU6-887P	4:39399149-39399248	+	snRNA
ENSG00000134962	KLB	4:39406930-39451533	+	protein_coding
ENSG00000264621	MIR5591	4:39411910-39411974	+	miRNA
ENSG00000238797	RF00019	4:39441665-39441764	+	misc_RNA
ENSG00000163682	RPL9	4:39452521-39458949	-	protein_coding
ENSG00000121897	LIAS	4:39458587-39485109	+	protein_coding
ENSG00000224097	AC021148.1	4:39480255-39481905	+	transcribed_processed_pseudogene
ENSG00000109814	UGDH	4:39498755-39528311	-	protein_coding
ENSG00000249348	UGDH-AS1	4:39528019-39594707	+	lncRNA
ENSG00000287262	AC021148.2	4:39539395-39546073	-	lncRNA
ENSG00000163683	SMIM14	4:39546336-39638902	-	protein_coding
ENSG00000286349	AC108471.3	4:39614465-39618488	+	lncRNA
ENSG00000252796	RNU7-11P	4:39621012-39621073	+	snRNA
ENSG00000255458	AC108471.2	4:39639107-39666879	+	lncRNA
ENSG00000078140	UBE2K	4:39698109-39782792	+	protein_coding
ENSG00000252975	RF00019	4:39710085-39710176	-	misc_RNA
ENSG00000249019	AC108471.1	4:39713842-39714451	-	processed_pseudogene
ENSG00000243260	RN7SL558P	4:39761000-39761298	+	misc_RNA
ENSG00000180610	ZBTB12BP	4:39770081-39771371	-	processed_pseudogene
ENSG00000121892	PDS5A	4:39822863-39977956	-	protein_coding
ENSG00000271278	ELOCP33	4:39932454-39933561	+	processed_pseudogene
ENSG00000252970	RNA5SP159	4:39936753-39936855	+	rRNA_pseudogene
ENSG00000250568	AC098591.2	4:39973128-39973442	-	processed_pseudogene
ENSG00000231707	PABPC1P1	4:39973444-39974338	+	processed_pseudogene
ENSG00000249064	KRT18P25	4:40020240-40021517	+	processed_pseudogene
ENSG00000205794	AC098591.1	4:40042917-40057199	-	transcribed_processed_pseudogene
ENSG00000078177	N4BP2	4:40056850-40158252	+	protein_coding
ENSG00000200455	RNU6-1112P	4:40077884-40077982	+	snRNA
ENSG00000201863	RF00432	4:40082983-40083106	+	snoRNA
ENSG00000248977	AC095057.1	4:40142198-40142365	-	processed_pseudogene
ENSG00000260296	AC095057.3	4:40166675-40167831	+	lncRNA
ENSG00000286089	AC095057.4	4:40187170-40190464	+	lncRNA
ENSG00000168421	RHOH	4:40191053-40246967	+	protein_coding
ENSG00000250338	AC095057.2	4:40265472-40266457	+	lncRNA
ENSG00000249241	LINC02265	4:40316485-40330419	+	lncRNA
ENSG00000174343	CHRNA9	4:40335333-40355217	+	protein_coding
ENSG00000239010	RNU7-74P	4:40377452-40377513	-	snRNA
ENSG00000163694	RBM47	4:40423267-40630875	-	protein_coding
ENSG00000250893	AC098869.2	4:40426119-40427585	+	lncRNA
ENSG00000242197	AC098869.1	4:40491733-40492024	+	processed_pseudogene
ENSG00000263642	MIR4802	4:40502040-40502119	-	miRNA
ENSG00000287182	AC131953.2	4:40743627-40750865	-	lncRNA
ENSG00000179299	NSUN7	4:40749925-40811184	+	protein_coding
ENSG00000248780	ARL4AP2	4:40786110-40786710	+	processed_pseudogene
ENSG00000163697	APBB2	4:40810027-41216714	-	protein_coding
ENSG00000250906	AC131953.1	4:40812779-40826151	+	lncRNA
ENSG00000207195	RF00019	4:40826655-40826765	-	misc_RNA
ENSG00000201736	RNA5SP160	4:40990154-40990273	+	rRNA_pseudogene
ENSG00000199790	RNU6-836P	4:41084607-41084713	+	snRNA
ENSG00000207198	RNU6-1195P	4:41113942-41114045	+	snRNA
ENSG00000251173	UCHL1-AS1	4:41220074-41256727	-	lncRNA
ENSG00000154277	UCHL1	4:41256413-41268455	+	protein_coding
ENSG00000207481	RF00019	4:41303237-41303337	-	misc_RNA
ENSG00000064042	LIMCH1	4:41359607-41700044	+	protein_coding
ENSG00000239627	RPL12P20	4:41389115-41389593	+	processed_pseudogene
ENSG00000287762	AC108050.1	4:41608312-41612411	-	lncRNA
ENSG00000249216	AC105389.2	4:41688858-41692797	-	lncRNA
ENSG00000249081	OR5M14P	4:41722538-41723512	-	unprocessed_pseudogene
ENSG00000109132	PHOX2B	4:41744082-41748970	-	protein_coding
ENSG00000250467	AC105389.3	4:41748293-41824119	+	lncRNA
ENSG00000249122	AC105389.1	4:41750345-41757341	+	lncRNA
ENSG00000200338	RNU1-49P	4:41771945-41772103	-	snRNA
ENSG00000249745	HMGB1P28	4:41842154-41843950	-	processed_pseudogene
ENSG00000245870	LINC00682	4:41872747-41882955	-	lncRNA
ENSG00000249771	AC108210.1	4:41883060-41935075	-	lncRNA
ENSG00000249887	AC108210.2	4:41924180-41924380	+	processed_pseudogene
ENSG00000109133	TMEM33	4:41935129-41960803	+	protein_coding
ENSG00000182308	DCAF4L1	4:41981756-41986465	+	protein_coding
ENSG00000272862	AC106052.1	4:41988741-41989237	-	lncRNA
ENSG00000014824	SLC30A9	4:41990502-42090461	+	protein_coding
ENSG00000249212	ATP1B1P1	4:42029209-42030123	+	unprocessed_pseudogene
ENSG00000188848	BEND4	4:42110853-42152878	-	protein_coding
ENSG00000285454	AC111006.1	4:42151028-42268110	+	lncRNA
ENSG00000250781	AC024022.1	4:42281830-42391651	-	lncRNA
ENSG00000178343	SHISA3	4:42397488-42402487	+	protein_coding
ENSG00000124406	ATP8A1	4:42408373-42657105	-	protein_coding
ENSG00000240167	RPS7P7	4:42471810-42472380	+	processed_pseudogene
ENSG00000248283	CCNL2P1	4:42561457-42562425	-	processed_pseudogene
ENSG00000260519	AC096734.2	4:42657496-42657928	+	lncRNA
ENSG00000251517	AC096734.1	4:42706107-42707335	+	lncRNA
ENSG00000252595	RN7SKP82	4:42892396-42892618	+	misc_RNA
ENSG00000215203	GRXCR1	4:42893267-43030658	+	protein_coding
ENSG00000248939	AC111198.1	4:43133867-43234956	+	lncRNA
ENSG00000250657	AC097451.1	4:43340875-43345600	+	lncRNA
ENSG00000277096	AC098590.2	4:43388157-43388437	+	processed_pseudogene
ENSG00000213851	AC098590.1	4:43410041-43410937	-	processed_pseudogene
ENSG00000248143	LINC02383	4:43457527-43492543	-	lncRNA
ENSG00000251501	AC114774.1	4:43586328-43588097	+	processed_pseudogene
