Accession	Description	Symbol	Coverage	Num.Peptides	Num_PSMs	UniqPeptides	Aas	MW	pI	DMSO.CHR_1	DMSO.CHR_2	DMSO.CHR_3	DMSO.HYPO_1	DMSO.HYPO_2	DMSO.HYPO_3	DMSO.NUC_1	DMSO.NUC_2	DMSO.NUC_3	GSK.15.CHR_1	GSK.15.CHR_2	GSK.15.CHR_3	GSK.15.CYTO_1	GSK.15.CYTO_2	GSK.15.CYTO_3	GSK.15.NUC_1	GSK.15.NUC_2	GSK.15.NUC_3	GSK.48H.CHR_1	GSK.48H.CHR_2	GSK.48H.CHR_3	GSK.48H.CYTO_1	GSK.48H.CYTO_2	GSK.48H.CYTO_3	GSK.48H.NUC_1	GSK.48H.NUC_2	GSK.48H.NUC_3	GSK.90.CHR_1	GSK.90.CHR_2	GSK.90.CHR_3	GSK.90.CYTO_1	GSK.90.CYTO_2	GSK.90.CYTO_3	GSK.90.NUC_1	GSK.90.NUC_2	GSK.90.NUC_3	GSK.180.CHR_1	GSK.180.CHR_2	GSK.180.CHR_3	GSK.180.CYTO_1	GSK.180.CYTO_2	GSK.180.CYTO_3	GSK.180.NUC_1	GSK.180.NUC_2	GSK.180.NUC_3	MS023.15.CHR_1	MS023.15.CHR_2	MS023.15.CYTO_1	MS023.15.CYTO_2	MS023.15.CYTO_3	MS023.15.NUC_1	MS023.15.NUC_2	MS023.15.NUC_3	MS023.48H.CHR_1	MS023.48H.CHR_2	MS023.48H.CHR_3	MS023.48H.CYTO_1	MS023.48H.CYTO_2	MS023.48H.CYTO_3	MS023.48H.NUC_1	MS023.48H.NUC_2	MS023.48H.NUC_3	MS023.90.CHR_1	MS023.90.CHR_2	MS023.90.CHR_3	MS023.90.CYTO_1	MS023.90.CYTO_2	MS023.90.CYTO_3	MS023.90.NUC_1	MS023.90.NUC_2	MS023.90.NUC_3	MS023.180.CHR_1	MS023.180.CHR_2	MS023.180.CHR_3	MS023.180.CYTO_1	MS023.180.CYTO_2	MS023.180.CYTO_3	MS023.180.NUC_1	MS023.180.NUC_2	MS023.180.NUC_3
O14880	Microsomal glutathione S-transferase 3 OS=Homo sapiens OX=9606 GN=MGST3 PE=1 SV=1	MGST3	76	9	134	9	152	16.5	9.38	16661081.61	9829497.609	15196517.77	782665.6797			1303851.891	1502157.664	902206.793	29563232.06	23788056.63	15115558.25	590964.7578	1433602.438	635907.5625	2425765.75	3022484.313	3552874.063	22904933.59	42279697	6662894.609	339090.8516	4093384.156	351404.5859	3215737.648	2048073.281	3935712.344	38130672.56	40306308.56	10758919.69	263383.625	4967389.359	4344028.5	1839690.125	3844317.422	1680401.234	29002919.06	50473188.25	9654101.766	90354.99219	3871130.125	1925235.281	1672594.953	2048966.547	2518220.891	28667881.06	19436116.69	193877.2656	3240972.25	1788181.688	1251667.195	3082643.563	2309565.531	19823361.09	28959905.23	15487744.45	531875.6406	484474.6563	714135.5938	1277459.805	1512868.219	1895908.102	52285191.25	41157695.31	14562762.72	242467.0898	5702083.406	3299009.906	2130026.359	2109036.734	3131156.313	30987163.5	39237064.5	15981345.61	462913.0938	1188867.344	4522082.563	2394681.094	1607172.625	3260052.922
Q9UKD2	mRNA turnover protein 4 homolog OS=Homo sapiens OX=9606 GN=MRTO4 PE=1 SV=2	MRTO4	49	8	125	8	239	27.5	8.29	8403209.469	7093098.781	7220577.219	179617.2422	46429.28906		567798.1875	242084.2656	67721.55859	21908054.14	28319568.16	10217270.69	151692.0469			659362.8125	374904.8906	602900.375	17019450.25	34088842.63	5521172.984	399019.4688		323096.4297	1135799.906	1220877.609	213859.2813	26854567.69	31578501.56	6737236.609	514964.2813	158651.0156		2260288.313	1904228.625	1139332.625	23328003.19	46846306.31	6591901.078	245953.7852		101438.7266	1613676	518793.7109	458616.3047	22636911.91	19429275.34	44213.44531	183590.25	207843.0938	439889.5313	720762.5156	352666.1094	13774560.28	24371309.69	7405216.5	218966.2344	152635.2813		492353.5156	397130.9688	431543.375	37918258	37769168.13	8741536.391	22202.95313	391169.1719	178794	2111676.25	397524.0781	1442392.563	26368617.63	39640300.88	8284480.641				311415.7734	683178.5156	985990.1406
P09012	U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3	SNRPA	43	11	233	10	282	31.3	9.83	6815109.469	3706950.773	4615007.859	2537190.953	1091513.227	1191024.398	12187377.53	11402445.27	3198933.781	12963168.97	18929783	4707729.516	1883475.219	1524720.156	4232753.063	26110195.58	23980438.69	25404558.69	11332660.75	24435002.28	3747133.773	2998427.359	1612004.883	2147267.789	30663720.22	30737612.47	11947158.78	18031157.23	11969545.61	5036816.203	2838621.594	2297360.969	2989989	32325560	44354587.81	24711297.38	14213925.94	21725879.53	4385735.383	1072132.527	1489521.938	2584384.297	32809156.13	19779956.13	18510148.5	10534498.88	10574626.41	1100693.938	2576273.953	3035590.188	28036553.75	30735226.13	21035325.34	9896213.203	15169221.63	4353981.297	1892543.641	2258053.109	1067881.516	19670823.23	21939118.27	16111066.69	25754256.88	18670168.52	5926642.859	1056073.563	2617475.609	2767953.094	40844623.06	17692179.66	27776879.45	12471431.28	15858413.59	4692740.109	2960576.344	936446.3203	1145256.5	26444796.48	19570638.03	26517736.41
P61088	Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1	UBE2N	43	8	176	8	152	17.1	6.57	376883.375	490023.3125	167435.7383	25647736.58	11935799.56	15198318.01	2403558.234	2079849.367	851096.1914	1741613.836	1536754.367	471706.2734	32775064.59	35307163.81	93012831.88	7427245.188	7208939.203	3795794.625	1662537.844	1769321.719	226098.6094	34636959.16	81281326.31	60755784.88	6759519.906	6009630.781	1388844.156	3149710.008	4313660.766	375340.7422	49377924.67	76178807	107789397.8	9360208.906	13686755.7	4257866.125	2272181.266	3745202.063	283521.0859	12186987.64	66290319.63	74995273	14375410.69	9449796.969	3421825.844	3373123.555	2466540.406	8001185.703	94072767.31	99093319.5	8256059.938	8297497.484	4279366.594	2003618.805	820250.9609	454401.5352	27598705.58	63792455.22	26676254.4	4280961.078	4679787.461	953247.5625	6037979.531	6148441.672	632458.2734	3567517.711	118943883.9	93867414.25	21226786.66	18067483.02	6533701.25	3727742.703	2847025.313	517450.9063	36412927.48	33137419.64	109673132.6	3803178.438	3095056.984	9241127.75
P35580	Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3	MYH10	8	14	150	7	1976	228.9	5.54	865355.0469	714006.0859	1227094.047	3234106.375	1687517.531	2292739.281	3185316.625	1797089.977	1643000.66	1461304.531	1785886.094	920245.4219	2426815	3841842.375	5298760.719	2249987.359	4261181.813	6034506.484	1463900.563	2893286.75	460218.6875	2710234.156	4211092.719	2622263.063	4601978.844	4051866.313	5052853.859	2353606.563	3223276.719	353515.2031	3654592.25	3070728.75	5386772.875		6253542.5	9936563.359	2241889.953	3268998.453	780497.2109	1786488.188	3465312.75	4520211.031	2195739	3234959.953	5478496.188	2000419.813	1816880.422	1620593.359	4793898.313	4913796.5		3461327.641	4829253.766	1413551.352	2833720.422	968403.5	1909277.281	3443131.031	1893765.016	4032231.516	3894338.5	6374024.906	3871466	3833056.188	621738.2109	955229.0781	5713255.688	5563977.906	3153949.375	2773884.156	8073074.156	1494517.5	3265201	904908.2656	2531047.016	2589374.047	5115716.875	1100931.453	5274365.094	5048361.25
Q6PKG0	La-related protein 1 OS=Homo sapiens OX=9606 GN=LARP1 PE=1 SV=2	LARP1	15	12	212	12	1096	123.4	8.82	13507671.95	5380246.387	12972882.47	5623246.914	2469342.102	3451192.719	5239001.111	4983051.668	1654681.785	33991167.89	33178818.98	14627002.73	6397007.445	2516474.922	5853765.938	8346698.559	8326172.156	13394615.3	36659877.36	58646582.94	9126497.395	9379560.641	10086217.63	5789620.008	6071022.297	7948428.25	5885768.172	51523463.77	52876818.93	10169049.16	9130551.578	4439212.102	6572878.586	10218210.83	19186627.36	13990785.38	44510842.48	70576278.97	12009454.3	2366521.223	3847766.602	7277623.313	13819108.63	6652937.813	10837382.33	40169276.2	35964071.35	2978954.477	7539561.039	9115568.836	12347823.46	11313601.11	9230205.391	19859674.02	30967166.09	9981294.43	8584319.773	7725168.633	6270132.086	6882994.953	8375753.953	5455697.184	55225700.59	57922249.3	17155547.97	1154892.635	7768168.711	9535336.828	13328312.34	7527504.453	12710077.55	48875820.94	62407981.08	12797585.18	6324420.063	2157692.992	4751271.742	7250078	10675354.41	12971480.94
Q14568	Heat shock protein HSP 90-alpha A2 OS=Homo sapiens OX=9606 GN=HSP90AA2P PE=1 SV=2	HSP90AA2P	23	9	333	2	343	39.3	4.65	376873.5313		158857.1406	2782448.688	610701.9844	700628.9375	239126.8594	187705.375					453655.9063	1948483.188	5578167.375							1634090.875	4782231	3165458.5							4543654	5349255.375	8928900				482437.75	323199.4063	151022.6094	935901.9531	2415246.688	2906400.188						647240.6094	5762767.688	7112548.125				154044.4063			1887233.5	3053641.813	1539079.25		351475.625		533336.1875	532772.75		417021.2813	7263354.25	4309883.75				461993.1875			5853092.984	2588993.156	3664805.188	347202.25		
P26447	Protein S100-A4 OS=Homo sapiens OX=9606 GN=S100A4 PE=1 SV=1	S100A4	50	8	507	8	101	11.7	6.11	166426890.4	67022337.09	25555377.97	141471486.6	47362189.32	64494760.65	27969391.27	31623168.08	9495128.064	1090632444	906685596.8	123549183.4	169278455.9	92086276.31	294291410.2	50946379.04	39555308	48996313	1403534696	1255483045	22476291.94	164966555.9	198638132.7	206113577.6	102133548	129579083.5	37324251.09	1764746203	1927229391	87384710.36	225000605.3	237297462.6	273692953.3	90081938.2	78235871.09	59623330.66	1441196390	2616129127	64751581.36	64625707.38	169351849.1	209402025.2	88999089.25	42336389.33	37335997.22	1683500861	969968987.7	61085851.97	227489537	273127734.2	73275994.44	73413945.38	88849544.57	640896548	423827138.6	68499841.78	143691267.5	220686157.2	124454082.8	57851591.81	80369268.78	25198328.57	2965839144	3057097427	184187393.8	25053393.63	285081925.9	252901483.6	99506696.16	39795814.81	79040372.58	2123760271	2155784110	91654539.95	125819904.2	84412041.99	224626921.2	60692293.33	43209956.41	77018252.63
Q9H361	Polyadenylate-binding protein 3 OS=Homo sapiens OX=9606 GN=PABPC3 PE=1 SV=2	PABPC3	18	12	278	10	631	70	9.67	17145378.26	8592026.242	14962144.29	67701419.52	25854818.37	33715328.15	19809002.42	19461687.59	5379400.864	33112293.25	41424659.41	19196038.05	76712372.5	59917749.63	156737950.9	41664754.97	39213661.25	48054500.61	26402293.02	47481594.36	13253961.73	84041095.92	88620728.06	104284532.8	65621538.22	45727965.23	17769559.09	56331910.06	37664173.89	14029673.33	128508639.6	69883506.88	104027817.1	73332880.66	76605054.81	64614280.03	45999448.63	51344665.69	13168029.45	34862923.02	52228365.34	113267100.1	81891370.38	37619416.47	42351433.52	39222418.75	19458885.06	24128052.43	101314310.4	151540952.1	45070841.22	59987461.22	46689724.67	15992228.25	20903091.35	11811563.4	65409128.58	93686554.22	62076416.53	42530794.91	34242898.97	22034537.52	62087636.25	41479991	15523528.16	16507721.52	84284697.72	118822246.1	90410608.5	32087570.69	71916052.52	40380533.13	54094258.44	17461678.3	68855228.24	45951903.72	73866270.86	50220471.11	41727856.33	57886381.47
P18754	Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1	RCC1	38	9	154	9	421	44.9	7.52	834047.6563	1770459.797	996757.5391		68161.375		12050031.19	12605013.56	2865472.109	4523009.5	5904478.234	1181040.758	194591.3906			20666080.84	25613243.25	19922804.97	5359962.297	8531618.656	375377.5781	341450.4844		198985.4219	29562277.84	35324343.25	9017935.719	11875574.38	9205312.063	1012353.703		396764.0313		33846468.19	54503061.63	25383526.25	7551336.469	9166669.406	1107175.938	673553.3125			31622539.31	20530915.5	16236769.02	8293586.906	7155651.828	596350.4688		778729.875	27747099.88	37835759.38	16008870.19	3826592.281	5818844.922	743669.2344		685865.3594		20575135.81	33005327.31	13479042.88	10004555.72	8706608.813	1298354.344	1571562.666	1900718.375	1876187.75	45887325	19191264.38	27805589.75	9032530.281	8207520.969	1003307.438	184197.6094	123488.6484	449696.3438	25513881.75	17033276.64	37696254.69
P10599	Thioredoxin OS=Homo sapiens OX=9606 GN=TXN PE=1 SV=3	TXN	67	8	333	8	105	11.7	4.92	2774405.016	2974067.742	5310909.621	335618225.1	129509245.9	151929714.7	21041404.02	14985396.69	11741609	3051228.844	4160783.891	3169995.219	325874354.3	232959619.6	431058532.9	22423318.81	13380785.3	17144250.63	5941621.672	6590060.625	3013525.781	306474067.1	444729539.3	305661830.7	21317861.19	29664462.75	16163189.77	6071943.703	4058574.297	3516718.016	417693317.1	538950183.2	609364908.5	29304643.63	21904346.28	25739684.59	4184208.031	7122409.531	3062869.813	141015694.3	325483143.4	361531538.6	26130666.21	18241440.88	21577043.1	6030612.016	2667687.641	135726878.6	545566450.5	640238674.9	16122579.28	7808301.375	29499369.5	5545739.234	6664798.953	3532240.344	367094772.4	391019044.2	258412547.7	21227668.53	24407467	13583951	7375647.344	5869342.469	3058881.73	69730696.16	692697878.5	428819014.3	21029114.5	24002654	22963594.52	4493276.297	6154971.219	4159119.938	246653843.3	176120445.4	471177625.1	13459651.52	14924980.2	27413144.03
P51610	Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2	HCFC1	9	12	127	12	2035	208.6	7.46	2623168.965	1366567.387	2729453.781	2402367.555	1141142.258	1539328.781	16504175.08	14602423.59	4257564.77	1611171.203	2828941.07	2265270.828	2331079.031	2194377.219	3903003.406	19513601.94	17772410.59	23454023.19	1332739.281	2807900.938	1729509.176	4138148.242	3436705.938	3901555.25	27503115.33	22990365.97	17242364.78	3640792	4474346.031	1791229.813	3757123.469	813411.5	3802876.688	21037533.09	28731096.31	30592418.03	1832260.844	3223155.125	1944004.203	1383727.574	1548610.008	2739464.281	31005839.78	14242580.2	25787491	3110276.797	1740231.891	1670596.875	2040032.688	3601355.813	20661455.72	19764421.84	22343800.03	667054.5313	2278204.344	2045484.891	1835053.469	4840526.094	2521058.195	19187721.02	20632523.22	18659440.31	4347506.531	3453301.828	2826696.563	486336.3906	2868151.406	3588578.375	29838713.63	13313280.97	38020532.31	1868941.781	2154413.938	3222153.516	2380542.703	2068082.172	2110695.875	19919886.94	31082345.64	22791920.48
O95678	"Keratin, type II cytoskeletal 75 OS=Homo sapiens OX=9606 GN=KRT75 PE=1 SV=2"	KRT75	11	8	747	1	551	59.5	7.74				1235529.375	426496.5	1094094.25				368189.625		190993.3281			145660.5469		1168995.25	573817.3125	1842189.5						1048167.563									1684304.625	931814.5								1072462.5				304998.5313			127423.5859	994235.125			243041.9688									4711701	3112242						1198376.125			2690603.25							752634.3125
Q13247	Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2	SRSF6	29	12	266	9	344	39.6	11.43	19579499.46	12078897.11	8666683.219	8338675.188	3495444.328	4826945.445	21585288.69	20103124.84	6515728.023	32491851.47	42691727.17	12351122.27	6991127.281	6441097.063	11880546.36	31022596.09	34087394.98	43339903.63	36790515.05	58576190.69	9049259.402	8975942.156	14902358.7	11340711.86	56396594.34	48503781.56	20117059.58	49552558.27	38028354.72	11940841.68	9698759.203	14401203.58	15840649	49880616.69	79039728	54565878.53	44070162.75	67813841.84	10074317.87	3195383.344	13320791.81	11923250.48	69638224.53	61609129.81	43120478.03	33802631	28269186.8	2196632.063	14944415.06	14071886.73	40749680.5	45137883.19	44120594.19	25092729.31	36641064.5	10309063.18	5298046.391	10112889.36	5752459.25	34390107.91	38081592.81	28020458.89	82837566.38	57815797.5	15342557.84	917657.9883	18019802.59	12930423.56	73449699.25	36053664	67284573.73	46346800.63	55106155.69	12186109.39	6356550.922	4836835.375	16567683.53	47840624.34	37900738.66	61053148.53
Q8TAQ2	SWI/SNF complex subunit SMARCC2 OS=Homo sapiens OX=9606 GN=SMARCC2 PE=1 SV=1	SMARCC2	14	14	104	14	1214	132.8	5.69	2002360.18	1916857.379	1195267.547	2208197.438	306792.5313	748378.4531	13423577.25	10855249.59	3108902.105	3785551.961	4120324.25	1481718.727	1978327.734	1641861.578	4487516.656	17066338.92	16472176.36	24902319.63	3667898.383	5309068.734	1147718.133	571199.2578	2880955.438	1221357.906	21541533.31	16994512.67	7204090.391	8455860.656	4349084.547	972576.0625	2842657.375	5848897.281	4886903.469	23520928.59	42697584.73	26098552.59	5886254.93	4480242.672	1405002.711	1880337.176	2070228.516	1933771.188	21149824.84	11557996.36	14524871.5	3130075.109	2089891.383	1317837.531	4208318.188	4482104.703	13256272.91	31776429.94	21269940.75	2853906.609	4923468.023	1111012.031	841907.2969	1070332.406	531234.2422	14842320.31	16432488.4	9874794.328	8648329.094	6310750.031	1716329.004	1931496.453	5042126.25	2850627.859	40051832.84	11851075.7	27299466.47	5213469.758	4938627.703	2039342.727	633999.082	2347403.199	3144947.094	14667482.55	17436908.34	19693059.25
Q9UN86	Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens OX=9606 GN=G3BP2 PE=1 SV=2	G3BP2	21	8	169	7	482	54.1	5.55	840871.6289	390169.3438	205865.5078	4706176.859	2313901.039	3104916.453	14338479.36	12993563.44	2318158.285	576918.8438	901306.375		4658635	5004950.297	6571503.563	24359325.44	22497992.11	27656865.75	752659.1328	952533.1875		6543207.188	7237590.25	6083602.688	17695931.41	25357725.75	16137292.88	2772432.25	1139476.25		8546680.188	5032499.938	6929539.688	36930356.63	40350858.13	27005536.06	1415783.813	1114361.219		1786256.563	5068407.516	4889559.938	32767805.13	17438689.14	19724914.86	2489569.367	1381593.609	2048111.25	7399586.641	8133521.406	29863007.88	26157953.44	21318464.69	366652.7383	592091.9219	123841.4375	6079796.531	6512613.609	5241696.781	16643233.92	15466080.05	13480612.45	1250212.531	2365911.609	297452.0469	947150.5195	6466720.469	6266550.938	37137979.88	16734030.88	30332734.38	673432.25	888716.0625	73937.27344	4571960.406	1655652.25	7700319.281	16182243.42	25557263.38	25255176.34
Q9UHX1	Poly(U)-binding-splicing factor PUF60 OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1	PUF60	31	12	115	12	559	59.8	5.29	581733.7109	447902.3281	144015.2344	3858957.828	1295394.438	1678588.188	6520506.859	4345276.461	1543362.402	1579656.328	1089592.578	219273.75	2800081.688	2859486.031	5734849.094	8507992.813	8156860.375	11307906.5	174895.2109	1172983.188	553786	2374080.531	3729511.328	3659240.367	16892379.06	12609283.84	10968253.44	1733330.875	661985	661613.4219	6354663.438	4952040.008	4998340.063	16891936.72	15410716.44	14845159.31			80768.35938	1579428.703	3286016.141	2926426.219	9267584.953	5295686.625	6482891.641	1634153.75	704679.0156	1709214.523	3605578.281	7313494.719	8656486.844	10954667.97	9364207.469	1258363.797	667974.5	348591.6641	1653359.25	3454975.125	1745016.125	8236913.063	10226456.66	5445772.977	612129.375	627074.6563	626203.1172	1374873.68	5986586.5	4470129.461	14760973.59	3343996.016	14022781.41	306066.125	1666220.688	394843.0313	1421187.328	1430815.648	4091937.289	12025943.42	8271025.438	7722294.188
Q9Y3B7	"39S ribosomal protein L11, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL11 PE=1 SV=1"	MRPL11	58	9	137	9	192	20.7	9.91	2326073.133	1053599.727	2075923.344	463735.2969	677822.6484	1073987.719	7369427.953	7195240.094	1744624.945	8581760.484	3818582.453	3598140.477	603254.4531	2448176.164	3469623.938	10885054.09	10851111.03	15547129.56	8621507.547	6645856.414	1755619.453	1368271.828	913476.1563	1265433.75	16463315.59	15498724.91	7444509.453	17848519.19	5265541.875	1348719.391	566407.5	5550217.438	3887071.156	22132517.06	23995797.56	20695306.31	13061736.86	13583960.5	1780516.469	615263.4375	4148569.469	3995074.594	16348779.84	14781119.56	10463022.06	7933435.25	2348443.109	240084.3359	4612487.281	5690729.063	14312812.19	14338200.38	13957390.08	5656009.922	7545101.844	1552315.727	1762480.844	1897127.688	1357232.188	13979418.66	14985880	9873839.188	18851061.5	12632641.91	2420473.031	143534.3359	3783943.188	3629442.188	23174249.06	9372213.688	18581740.47	14496265.92	12757065.53	2250413.75	953006.0469	2095599.984	2002163.781	11885804.66	14869821.06	15809552.34
Q9NSE4	"Isoleucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=IARS2 PE=1 SV=2"	IARS2	12	11	109	11	1012	113.7	7.2	138745.9688		84857.16406	17902883.56	6745208.68	8437656.195	184506.9375	696060.4688	103770.168	395098.0625	477624.0938	799988.5313	21426218.22	14820710.39	31227804.69	99512.36719	2103301.75	3936204.688	848587.2188	341406.8281	104373.2969	21774287.66	24571199.36	23625174.55	1882344.75	2240647.234		1180370.781	598883.7344	286958.9688	31684868.34	23746784.47	30231301.44	1168295.5	3872913.906	698786.1719	239557.2344	1314241.719	53575.37109	7504071.813	16296527.23	23830530.41	4335547.156		309142.4375	592630.6406	392607.1563	7206841.844	27375743.72	36356002.59	3244210.125	3328729.641	644945.9688	990880.875	282366.0313	583691.6875	20975374.66	33098670.55	17213063.31	2294460.203	732687.3906	956700.2344	1074105.5	382089.9688	374738.8359	2776392.715	34980169.44	34065913.16	6126916.094	238296.0938	2999547.813	343372.5313	1012956.484	223347.4531	17800861.58	9891702.313	28085574.63	520568.9688	438251.75	680676.5
P51148	Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2	RAB5C	56	10	247	8	216	23.5	8.41	4664695.012	2539762.953	1730031.156	21522236.5	16167437.03	13917062.66	8416768.477	9364714.82	3016348.303	5882507.906	4667932.281	1901939.992	22743273.94	31343307.08	31852665.33	12080036.45	9065486.867	14346407.8	4696444.516	4982600.031	1584716.234	14788828.59	23000642.45	23942418.22	15580659.02	11722179.3	6835409.578	12298900	4366552.766	1533033.852	22877687.36	38385433.91	39844173.75	16817984.97	18889384.34	12706619.28	11528239.75	6943510.688	2073975.32	10014694.03	34458088.31	23845959.23	19043495.08	6900353.484	14586159.69	4657804.875	2774843.453	9144139.609	40180495.78	40379334.11	11633370.91	8898247.313	14153317.13	3446787.453	5383655.25	2296758.488	9518877.281	17525926.84	9324784.352	9733624.594	8880493.813	6580966.195	16921400.81	7227034.719	3342568.477	6141032.328	46008447.34	33391425.57	20344526.06	9060774.25	18470790.66	9931027.719	6506046.188	4365263.547	13723995.11	11360020.95	41278791.08	14364279.03	13572727.22	11583324.28
P50995	Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1	ANXA11	30	14	128	14	505	54.4	7.65	391312.625	545711.5664	497270.8438	13991623.28	5269888.859	7932259.641	125049.9766	175956.6172	21426.39258	1012372.078	416687.4531		19222682.56	14594674.91	19427825.56	109982.9922	75280.71094	331637.0313	1219525.984	820181.7813	615403.4688	16669514.16	22816521.09	20946454.53	141038.7656		1812433.648	2011834.063	1568781.563	355420.75	27000203	27974024.38	30071763.69	212137.5	890478.7969	750081.0781	1394466.445	2081012	544956.1172	8488148.008	20999959.17	23590461.47	546476.5938	2626098.656	598418.4297	2093908.656	1649509.426	3940783.266	24692924.56	24600323.81		826541.7344		1152088.5	1830042.172	582578.9609	14669708.22	22228147.34	12967083.2		209377.0469	1295220.406		838636	445378.6563	3274098.238	32772731.91	32038202.41	481965.4688	2097351.5	262493.8438	1747923.789	1430535.719	268112.5313	15391740.33	9651992.031	30522287.16	171229.6563		
Q8TED0	U3 small nucleolar RNA-associated protein 15 homolog OS=Homo sapiens OX=9606 GN=UTP15 PE=1 SV=3	UTP15	31	13	77	13	518	58.4	9.11	2782034.914	1739065.82	1484779.977	365178.75	364882.1484		434435.8203	182233.2656	80115.38281	7776560.602	9181757.305	3345801.281	514038.3594	441053.5313	355622.4375	1102297.695	582519	168537.2813	7192100.234	12279185.91	2057407.047	316257.4063	634650.6094	631100.2188	1435169.656	905887.1875		12474132.59	10778237.72	1501253.539	1263612.875	594900.1563	2686741.781	2349948.656	1431584.531	1297430.844	7401881.25	18027039.75	1288549.574		730484.4219	638725.7031	1411887.781	1278568.984	134834.2969	8112282.063	9371356.828	200782.2891	1108145.688	1678052.594	1166474.594	1506118.742	183724.0781	3579540.492	7972556.125	1716653.031	273088.6563	833795.1875	451652.9688	695775.7344	530710		16488354.61	18182934.22	2463675.914	202118	1396918.578	288303.7188	2093103.969	1487536.516	302490.5313	8425413.063	12831867.16	1416750.563	346725.1563	540000.7813	734798.7813	1206394.672	365360.4688	1486213.32
O14980	Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1	XPO1	16	13	100	13	1071	123.3	6.06	1685771.578	439461.6016	898933.4141	11482330.38	5887295.482	5423747.316	1177267.031	1421747.313	309358.8594	897418.6875	1158107.984	892036.2266	14185878.31	15731915.72	22135478.98	2180407.953	1783708.566	2436101.281	961718.8984	1922800.688	672944.6426	11810566.13	14834154.8	14225538.5	6248047.047	2553246.582	1054240.59	316765.8438	1131517.328	681481.9844	18469550.22	19847968.08	22898603.72	6321376.125	3828246.742	4824389.328	1567944.445	1620875.297	264364.0625	4951348.408	15182103.99	19277092.38	5262529.836	2493678.531	2869555.094	1512237.844	642267.8125	5003811.117	22483389.03	26219392.91	3092695.898	2844838.781	1919230.5	975484.8789	1715562.359	567078.5352	9753045.015	12215316.61	8384559.07	2353951.176	2655826.875	1355058.129	782169.5234	1416508.219	1015843.555	2816503.098	24645781.66	18223751.02	6002662.219	2816539.758	3690224.379	1281562.266	2438831.625	614848.7617	7818792.188	8927635.188	24264017.23	6142855.418	4210484.219	3410166.898
Q3ZCQ8	Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens OX=9606 GN=TIMM50 PE=1 SV=2	TIMM50	31	11	225	11	353	39.6	8.37	4021991.727	1926535.617	5170792.516	11252712.77	3204139.693	4675726.281	13207840.83	11312302.16	2273871.701	3852009.094	6605265.047	4135546.805	11274366.63	5921646.734	15456243.09	18234753.24	11849495.67	23522011.44	3512690.156	6728033.813	3888272.371	11987924.13	8204903.375	9611059.129	22834234.25	19176778.28	10311160.78	9005105.969	5272563.063	3232023.414	20821787.58	10510622.36	13785497.16	27706946.73	21631065.35	27128718.84	6418434.438	8274778.875	3256770.477	3259673.314	6189700.875	10082400.23	28239207.17	10430715.95	22734281.34	4596822.141	4074668.297	3066622.695	15726938.53	22450702.81	18296007.41	14430296.27	20390777.34	4871218.078	6727485.406	5182392.961	12714363.37	10862040.88	5867064.016	18067328.69	18482219.08	14421066.31	20253156.02	7868073.453	4173906.094	1648200.973	10929064.75	11342176.98	32448021.97	12512514.83	37234818	13255248.84	8068920.578	4829865.059	9970557.891	3799706.086	11123062.95	16524030.2	24473877.88	18759730.38
O43159	Ribosomal RNA-processing protein 8 OS=Homo sapiens OX=9606 GN=RRP8 PE=1 SV=2	RRP8	23	8	103	8	456	50.7	9.42	2904129.438	1983842.336	2685576.859	531133.4922	180928.5781	264031.1875	1566040.648	1446381.438	337267.6074	5197506.813	9700684.375	3763398.32	449750.2813	232100.0781		3052222.891	3431802.875	3250848.438	6540573.133	15397625.23	2394633.531	931342.3125	428859.5625	429297.5	2498655.75	2951786.063	725793.0469	12324141.05	12256452.8	2386676.539	898670.6406			4055386.141	6243698.594	3676386.875	6790964.906	14690697.38	2501201.109	233654.5313		189101.9375	5494488.516	2065972.625	2038752.359	8059128.781	8739637.969	212126.9063	485008.625	591629.2031	3290247.219	3380142.781	2787081.875	4290927	7191362.063	2464106.805	1048712.547	491726.6563	477831.1563	2618784.094	2034556.484	1456434.078	15040169.25	13544791.03	3145558.297	78677.63281		411907.0313	4844199.781	2493713.922	3936003.453	7538509.094	13325943.88	3401619.492	505811.3125	230541.8281	296635.75	2892398.438	3768247.656	3995332.133
